,H_em,P_cl,T_ICM,T_cl,Z_cl,beta_cl,chisq,cloud_Rin,cloud_Rout,f_cl,grid_rnd_seed,id,n_HI_ICM,n_HI_cl,r_cl,r_gal,sigma_cl,sigma_i,vinf_cl,zeta_Z
87,1091.365,0.9626937,1525433.0,8688.428,0.0777199440657,1.85,7376.86194376,0.0,5000.0,1.72580672442,123456,87,1.237564e-07,0.5386324,34.88273,5000.0,54.55056,84.06829,690.2966,0.0010888156866
88,2191.75,0.945201,17175880.0,12800.66,0.0508921328739,2.39,12010.181093,0.0,5000.0,4.36927002145,123456,88,2.055896e-11,0.1741411,146.5865,5000.0,54.45199,75.8886,391.1409,0.00230320710014
89,719.0491,0.9618863,1030790.0,40530.67,0.723164911454,1.31,14038.2859099,0.0,5000.0,6.83306570723,123456,89,4.032495e-10,0.06670986,63.58996,5000.0,53.99829,45.64685,444.6291,0.00020246575113
90,2451.577,0.9480925,39396130.0,11884.66,0.263838985977,1.95,1310.90759131,0.0,5000.0,6.71475751555,123456,90,4.56811e-09,0.07493161,134.1818,5000.0,55.43777,32.55777,1.23501,0.0302290111772
91,939.7607,0.9730839,671948.4,29662.57,0.280408567085,2.33,4092.94821938,0.0,5000.0,1.30901236881,123456,91,9.318544e-12,0.471012,96.97861,5000.0,54.42,31.94552,792.1632,0.00407491073507
92,1713.289,0.9497668,477612.7,10504.8,0.17458622266,1.63,1259.38569586,0.0,5000.0,5.65753163304,123456,92,9.846318e-08,0.258134,39.63815,5000.0,54.97242,78.76404,70.75929,0.000152577369919
93,2093.708,0.9709942,10350100.0,43204.3,0.0465571111922,1.78,24544.3851128,0.0,5000.0,7.35811978581,123456,93,1.809914e-12,0.03244688,167.6793,5000.0,55.21306,84.19076,395.9739,0.00128779225926
94,1876.008,0.9531172,11848260.0,5194.728,0.0352131275001,1.85,5301.23239973,0.0,5000.0,1.91316214805,123456,94,6.49294e-12,1.455936,184.2526,5000.0,54.44804,5.431914,502.3018,0.00409778045854
95,2248.018,0.9703884,24631310.0,43393.59,0.40900988183,2.41,7959.8922264,0.0,5000.0,2.95021306527,123456,95,2.721718e-07,0.08944801,50.41413,5000.0,53.74013,78.01541,271.1975,0.00060770795167
96,1638.475,0.9403045,48975380.0,8168.209,0.266544716947,1.51,6935.60716074,0.0,5000.0,1.92077312822,123456,96,2.178445e-07,1.192568,125.9306,5000.0,54.03912,81.35619,592.3446,0.00171564374913
97,2155.209,0.9735363,579141.0,15833.24,0.0656343940426,1.84,9608.23147069,0.0,5000.0,3.30131098687,123456,97,1.223989e-08,0.2345569,190.6312,5000.0,55.38608,42.17192,608.6832,0.000119843218549
98,739.8416,0.9715277,4392826.0,42749.12,0.964677758223,1.9,7131.55045497,0.0,5000.0,6.18749403158,123456,98,5.553392e-11,0.2040952,61.57412,5000.0,54.27286,26.67812,441.8618,0.00324502174577
99,2463.396,0.9521438,1209987.0,37575.32,0.173810469979,1.6,1418.05771883,0.0,5000.0,6.41582479182,123456,99,4.558118e-11,0.7989605,135.7585,5000.0,55.13627,81.17786,153.2156,0.0748890280379
100,2525.036,0.9449169,972999.4,47195.84,0.838307001678,2.45,2440.12203318,0.0,5000.0,1.54784162904,123456,100,5.631012e-08,0.04594027,71.58964,5000.0,54.20371,58.82143,437.5046,0.0303565068174
101,612.5416,0.9624407,21464140.0,9161.16,0.49393218337,1.24,8943.34949787,0.0,5000.0,5.87932347303,123456,101,4.025456e-07,1.225894,37.23887,5000.0,53.9879,49.72537,196.8394,0.00344412320974
102,2411.725,0.9449676,470602.9,7478.901,0.0990430078629,1.69,9487.09965964,0.0,5000.0,3.38706819727,123456,102,2.384545e-08,0.05045496,87.03164,5000.0,54.61363,88.69974,570.4883,0.000132981650186
