ID,H_em,P_cl,T_ICM,T_cl,Z_cl,beta_cl,chisq,cloud_Rin,cloud_Rout,f_cl,grid_rnd_seed,id,n_HI_ICM,n_HI_cl,r_cl,r_gal,sigma_cl,sigma_i,vinf_cl,zeta_Z
83,2066.217,0.8759031,31001840.0,37521.9,0.0330829025095,1.49,594.514381436,0.0,5000.0,6.98984050122,123456,83,2.542721e-08,0.569645,130.2894,5000.0,75.08718,45.80231,565.9112,0.000539008220068
84,769.0608,0.2327258,521951.6,6553.701,0.0661937926403,2.14,1437.37650395,0.0,5000.0,2.49964572423,123456,84,2.388237e-11,1.104882,35.95363,5000.0,95.39387,6.991819,690.9963,0.0294623578764
85,1030.997,0.5140742,964986.5,22667.91,0.0368462675911,2.06,359.791077117,0.0,5000.0,2.36241734635,123456,85,1.439501e-11,0.1794163,170.0923,5000.0,60.31716,96.72726,174.2357,0.000108134354283
86,2537.037,0.6068934,1558703.0,37684.74,0.0565146512905,2.11,376.405761341,0.0,5000.0,7.8420997004,123456,86,2.308586e-10,1.300022,36.35552,5000.0,67.4278,39.01652,404.3604,0.000378383948991
87,2261.93,0.5540993,6847398.0,7893.524,0.0954940800337,1.73,1453.38106437,0.0,5000.0,7.79516182793,123456,87,2.092208e-08,0.142315,183.6086,5000.0,95.93473,53.46266,348.2033,0.0810537468288
88,1691.366,0.3077391,332331.2,17472.63,0.240457597568,1.82,762.364841276,0.0,5000.0,4.30687064807,123456,88,1.329003e-12,0.06003441,171.7771,5000.0,74.92245,43.07586,227.342,0.00312749675701
89,567.5176,0.9434768,19348820.0,28996.24,0.0917262203072,1.62,142.998559309,0.0,5000.0,3.00812241169,123456,89,3.079647e-12,0.9855121,108.4684,5000.0,44.52286,49.15175,101.011,0.00276470119246
90,1218.779,0.187585,12655220.0,14682.01,0.0372103208668,1.1,2505.05658963,0.0,5000.0,5.59011284244,123456,90,6.841718e-12,0.0627893,140.5854,5000.0,8.723228,97.08733,781.9405,0.00741796799214
91,2106.883,0.5330191,2080090.0,44313.49,0.0315177506739,1.86,956.344946841,0.0,5000.0,1.81005167403,123456,91,6.475991e-07,0.8019611,135.0872,5000.0,91.14315,13.61312,511.4501,0.00255341774925
92,2713.897,0.2413496,10223970.0,11523.92,0.0475741425237,1.54,229.478717643,0.0,5000.0,2.28407399367,123456,92,9.433188e-09,0.2719492,37.0829,5000.0,73.64156,76.64861,286.5636,0.0325705597561
93,2794.442,0.1534824,9380244.0,24650.05,0.292300045337,1.65,492.399605073,0.0,5000.0,4.30213997378,123456,93,2.453211e-07,0.6456051,181.7569,5000.0,86.68067,91.16978,787.6028,0.00777233512365
94,1805.614,0.25667,1185363.0,13206.58,0.339140194898,1.23,301.489746826,0.0,5000.0,4.89922497331,123456,94,5.600132e-12,0.09534812,63.55394,5000.0,48.05659,5.615124,65.26104,0.0344947083294
95,2032.977,0.1988194,19848560.0,6170.687,0.514117487659,1.82,979.550550257,0.0,5000.0,7.73270150429,123456,95,5.868453e-07,0.1276849,79.92299,5000.0,34.34009,37.51209,438.5248,0.0130083007347
96,1073.448,0.3616784,11413990.0,6234.729,0.41093165081,1.46,1735.50601633,0.0,5000.0,1.40223978565,123456,96,3.435081e-10,1.696816,77.0509,5000.0,49.78467,24.99956,654.8252,0.00024301289902
